,itemId,color,guarantee,memory,name,price,ram,site,soup
0,bd4f3f32e70dae9b3dc17d3d7277d6b34cdde5fe,bleu,garantie1an,8go, z7 ,259.0,1go,jumia,1go 8go bleu
1,c0f0a1d70e3f5f805970366f5bf0d29d361fa47c,noir,garantie1an,4go, v5 nano ,148.0,512mo,jumia,512mo 4go noir
2,95c809d493d3657ef06b115fe1e33d3ae1f1df52,gris,garantie1an,8go, v5 ,187.0,1go,jumia,1go 8go gris
3,3494134f92986843aa5bae14cce7bfa0678c954a,bleu,garantie1an,8go, 2.1 ,359.0,1go,jumia,1go 8go bleu
4,b93a0d88ea7b183e7b38e99c26a1bc5ae8fa85f7,lavender,garantie1an,8go, j2 core ,309.0,1go,jumia,1go 8go lavender
5,b5cdebe005bc9def7f5f49d0bfd198c3e92be833,,garantie1an,16go, m11  grayblue ,439.0,2go,jumia,2go 16go 
6,a17d2f3ebf634f7e1b5872c5121b11180d92ecac,bleu,garantie1an,64go, a7 ,645.0,3go,jumia,3go 64go bleu
7,d1268a8de75bb2b4e208d99df0e59221bdf332eb,brunambré,garantie1an,32go, y6 prime 2019 ,449.0,2go,jumia,2go 32go brunambré
8,81bff5bb864f08a629f37eae4247eb535115d708,rouge,garantie1an,32go, galaxy j6 plus ,599.0,ram3go,jumia,ram3go 32go rouge
9,30808fc7dfb59d0a346e991c7d000a8d27f891bc,black,garantie1an,8go, v4+ ,219.0,1go,jumia,1go 8go black
10,0d36c4053a4a7329353f4cc3bf5268f7ce0e6f49,noir,garantie1an,16go, 3.1 ,489.0,2go,jumia,2go 16go noir
11,55f4de7ab2d4a810758d027167156d4278e26d94,bleu,garantie1an,128go, p30 lite ,899.0,4go,jumia,4go 128go bleu
12,53023ac767fade77031f2905747111c1b7d7af7b,noir,garantie1an,64go, galaxy a30 ,829.0,4gb,jumia,4gb 64go noir
13,b0f2acc17dcfcf0d6a3cd073afb1557a8292394a,noir,garantie1an,16go, y8 ,430.0,3go,jumia,3go 16go noir
14,da6a9c144717891fb32c42c506865f0d6205c6de,gold,garantie1an,4go, z6 mini ,125.0,512mo,jumia,512mo 4go gold
15,e47dc71dea7c93570ada914b432e28887da44aef,noir,garantie1an,128go, galaxy a7 2018 ,1350.0,4go,jumia,4go 128go noir
16,69499d2c1b148ede484f31179bf9c41444d06ab0,noir,garantie1an,128go, galaxy a70 ,1559.0,6go,jumia,6go 128go noir
17,90d50e1f328bce0598effb3f9d23bbef8e86e198,noir,garantie1an,4go, v5 nano ,138.0,512mo,jumia,512mo 4go noir
18,097b0d33d01944076534bdf17911e1e03999bf78,gold,garantie1an,16go, apex ,245.0,1go,jumia,1go 16go gold
19,ffa6c7cfea61b43983d29f9162b07ec739aaf8f4,rouge,garantie1an,16go, apex ,245.0,1go,jumia,1go 16go rouge
20,0a3973debfab4c97c591a21b9eeef7e40673cf6c,rouge,garantie1an,32go, galaxy a10 ,479.0,2go,jumia,2go 32go rouge
21,c7222a379c71a881d985e7d4bcdc9ffd473e32ac,brunambré,garantie1an,32go, y6 prime 2019 ,509.0,2go,jumia,2go 32go brunambré
22,05c2d92c6477faa8e82113e0deeb257c82e1869f,rouge,garantie1an,32go, hot 7 pro ,529.0,3go,jumia,3go 32go rouge
23,b46c4efb5c8811477c240e607f21e6317f43fcc4,brown,garantie1an,32go, hot 7 pro ,535.0,3go,jumia,3go 32go brown
