"_id","_index","_score","_type",description,href,image,price,site,title
26a09c3ed36237d4df2724d5e5eb7d98eafd233e,scrapy,0,items,"[""A3s -  6.2 - 3Go - 32Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/oppo-a3s-6.2-3go-32go-noir-garantie-1-an-150074.html""]","[""https://tn.jumia.is/-liMMW_SSUjnEfEB9rAf1hxnj74=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/47/0051/1.jpg?4064""]","[""579 ""]",jumia,"[""A3s -  6.2 - 3Go - 32Go - Noir - Garantie 1 An""]"
99254e6032832a5bfeba440f7a258c90905cafb2,scrapy,0,items,"[""Iphone XR - 4.7\"" -  2 Go - 64Go - Bleu - Garantie 1 an""]","[""https://www.jumia.com.tn/apple-iphone-xr-4.7-2-go-64go-bleu-garantie-1-an-128745.html""]","[""https://tn.jumia.is/JWMeJ60S1gfzeEzFuC0fviU9Qm0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/54/7821/1.jpg?6655""]","[""2 899 ""]",jumia,"[""Iphone XR - 4.7\"" -  2 Go - 64Go - Bleu - Garantie 1 an""]"
4987188a91ff0c46806643476228ca2112f74e0f,scrapy,0,items,"[""Y9 2019 - 6.5\"" - 4 Go - 64 Go - Aurora Violet - Garantie 1 An""]","[""https://www.jumia.com.tn/huawei-y9-2019-6.5-4-go-64-go-aurora-violet-garantie-1-an-170224.html""]","[""https://tn.jumia.is/oorCGJcvgW1zdqYM_1kq6PWtT78=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/42/2071/1.jpg?6767""]","[""659 ""]",jumia,"[""Y9 2019 - 6.5\"" - 4 Go - 64 Go - Aurora Violet - Garantie 1 An""]"
e3fbd7d7c6d0e421b74892d9e12cad2341e09019,scrapy,0,items,"[""V5 Plus - 5\"" - 1 Go - 8 Go - Rouge - Garantie 1 An""]","[""https://www.jumia.com.tn/v5-plus-5-1-go-8-go-rouge-garantie-1-an-evertek-mpg142.html""]","[""https://tn.jumia.is/EAQcePoQFr2pZs2y3Dx-ZWS1rxw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/75/3371/1.jpg?5824""]","[""229 ""]",jumia,"[""V5 Plus - 5\"" - 1 Go - 8 Go - Rouge - Garantie 1 An""]"
81e55a5115dcf1a779ac43cc5a5f9e407bf34d53,scrapy,0,items,"[""IPhone 8 - 4.7\"" - 2 Go - 64 Go - Silver - Garantie 1 An""]","[""https://www.jumia.com.tn/iphone-8-4.7-2-go-64-go-silver-garantie-1-an-apple-mpg2064.html""]","[""https://tn.jumia.is/9uNrVDQ8IJGR_Z38ySheRNrAIJ0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/03/6041/1.jpg?8430""]","[""2 119 ""]",jumia,"[""IPhone 8 - 4.7\"" - 2 Go - 64 Go - Silver - Garantie 1 An""]"
4791ef207cb55f80364dd43fec6e250460527edb,scrapy,0,items,"[""Galaxy A2 Core - 5\"" - 1 Go - 16 Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-galaxy-a2-core-5-1-go-16-go-noir-garantie-1-an-181240.html""]","[""https://tn.jumia.is/uoBD8SF0C0LAPdHOM7GwvnUNcMY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/04/2181/1.jpg?8307""]","[""315 ""]",jumia,"[""Galaxy A2 Core - 5\"" - 1 Go - 16 Go - Noir - Garantie 1 An""]"
ccdf9242c2887933799cf6b35e0e846fda5ff9d2,scrapy,0,items,"[""Galaxy J8 - 6.0\"" - 3 Go  - 32 Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-galaxy-j8-6.0-3-go-32-go-noir-garantie-1-an-171237.html""]","[""https://tn.jumia.is/ydWcdezO0SF2TyJqPfK_YuAR24A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/73/2171/1.jpg?7905""]","[""670 ""]",jumia,"[""Galaxy J8 - 6.0\"" - 3 Go  - 32 Go - Noir - Garantie 1 An""]"
8f574513eee090cde53895923e488de52a68a067,scrapy,0,items,"[""M9 Pro 4G - 5,72'' - 2 Go - 16 Go - Empreinte - Noir - Garantie 1 an""]","[""https://www.jumia.com.tn/leagoo-m9-pro-4g-572-2-go-16-go-empreinte-noir-garantie-1-an-158708.html""]","[""https://tn.jumia.is/IHwdDTUW3Bb2xvoUntjXzY5beog=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/80/7851/1.jpg?1025""]","[""358 ""]",jumia,"[""M9 Pro 4G - 5,72'' - 2 Go - 16 Go - Empreinte - Noir - Garantie 1 an""]"
af9c33bc69a14d41768a5d2537f663b7708efe0e,scrapy,0,items,"[""V4 - 5\"" - 1 Go - 8 Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/evertek-v4-5-1-go-8-go-noir-garantie-1-an-130507.html""]","[""https://tn.jumia.is/A0R9ydfrT-4lGabxo12o_JWoCJY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/5031/1.jpg?1164""]","[""189 ""]",jumia,"[""V4 - 5\"" - 1 Go - 8 Go - Noir - Garantie 1 An""]"
f9669647ca88ed8cb6ce09ec4c30b89a9ab8c95c,scrapy,0,items,"[""Galaxy A20 - 6.4\"" - 3 Go - 32 Go - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-galaxy-a20-6.4-3-go-32-go-bleu-garantie-1-an-182456.html""]","[""https://tn.jumia.is/4iS9-fhO9nOwD6_LwMoY_jDoIO4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/65/4281/1.jpg?3512""]","[""529 ""]",jumia,"[""Galaxy A20 - 6.4\"" - 3 Go - 32 Go - Bleu - Garantie 1 An""]"
fb05a0830735a4f856a37d5fbb0ad83db769c9a5,scrapy,0,items,"[""L-ement 403 - 1Go - 8Go - Noir - Garantie 1 an + Flip Cover""]","[""https://www.jumia.com.tn/logicom-l-ement-403-1go-8go-noir-garantie-1-an-flip-cover-142046.html""]","[""https://tn.jumia.is/YVU58Yhc9Ldh9UrOgixN7c8FP_A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/64/0241/1.jpg?8897""]","[""149 ""]",jumia,"[""L-ement 403 - 1Go - 8Go - Noir - Garantie 1 an + Flip Cover""]"
a4b24fa6f444c9687f36aec62525e9f1260cb127,scrapy,0,items,"[""Y5  2019 - 5.71'' - 2 Go - 32 Go - Brune ambre - Garantie 1 an""]","[""https://www.jumia.com.tn/huawei-y5-2019-5.71-2-go-32-go-brune-ambre-garantie-1-an-180113.html""]","[""https://tn.jumia.is/eq3ikD8rv8YCoRcWJeMWHEb-ur8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/31/1081/1.jpg?0876""]","[""379 ""]",jumia,"[""Y5  2019 - 5.71'' - 2 Go - 32 Go - Brune ambre - Garantie 1 an""]"
0ca4b825a5621fc2e3ef2d10f85722a77e83e25c,scrapy,0,items,"[""Y5 2019 - 5.71\"" - 2 Go - 32 Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/huawei-y5-2019-5.71-2-go-32-go-noir-garantie-1-an-180114.html""]","[""https://tn.jumia.is/qerSF7_GHOT1FZMrZjQqN-aLW4Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/41/1081/1.jpg?0876""]","[""379 ""]",jumia,"[""Y5 2019 - 5.71\"" - 2 Go - 32 Go - Noir - Garantie 1 An""]"
ae551653a58baf06769c0c9bc8bdd0ce8afd7bee,scrapy,0,items,"[""Y5 Prime 2019 - 5.71\""- 2 Go - 32 Go - Gold - Garantie 1 An""]","[""https://www.jumia.com.tn/huawei-y5-prime-2019-5.71-2-go-32-go-gold-garantie-1-an-179750.html""]","[""https://tn.jumia.is/xJOs0XdynTnrzg1g4ExtL7pQSxk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/05/7971/1.jpg?0808""]","[""390 ""]",jumia,"[""Y5 Prime 2019 - 5.71\""- 2 Go - 32 Go - Gold - Garantie 1 An""]"
560ae8e671b9e7fff9101ebaab56260baf597553,scrapy,0,items,"[""M11 Gold  - 6,18'' -  2 Go - 16 Go - Gold - Garantie 1 An""]","[""https://www.jumia.com.tn/m11-gold-618-2gb-16-gb-gold-garantie-1-an-leagoo-mpg1994.html""]","[""https://tn.jumia.is/BoL6_yrwpkp4trnUZKu9D3AkxNo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/78/3231/1.jpg?3485""]","[""439 ""]",jumia,"[""M11 Gold  - 6,18'' -  2 Go - 16 Go - Gold - Garantie 1 An""]"
4bfe17a7c63b73c99212e02aacddf60a146d8837,scrapy,0,items,"[""Y5  2019 - 5.71'' - 2 Go - 32 Go - Brune - Garantie 1 an""]","[""https://www.jumia.com.tn/huawei-y5-2019-5.71-2-go-32-go-brune-garantie-1-an-180177.html""]","[""https://tn.jumia.is/wr2h7hqRvoMx3KQECGZiBjkCgIY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/77/1081/1.jpg?9664""]","[""379 ""]",jumia,"[""Y5  2019 - 5.71'' - 2 Go - 32 Go - Brune - Garantie 1 an""]"
b3746e67f091ab45157df68b0a048ca670ef5d92,scrapy,0,items,"[""Smart 2 HD+ - 6.0\"" - 16G - 1G Ram -  Fingerprint - Champagne Gold - Garantie 1 An""]","[""https://www.jumia.com.tn/infinix-smart-2-hd-6.0-16g-1g-ram-fingerprint-champagne-gold-garantie-1-an-135744.html""]","[""https://tn.jumia.is/AkvgM3FxPDh1539QYClqDoAE7yY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/7531/1.jpg?8784""]","[""289 ""]",jumia,"[""Smart 2 HD+ - 6.0\"" - 16G - 1G Ram -  Fingerprint - Champagne Gold - Garantie 1 An""]"
d1acca086f525600b3b5e983f10cc99ff69ae490,scrapy,0,items,"[""V9 plus - 5.7\"" - 1 Go - 8 Go - Gold - Garantie 1 an""]","[""https://www.jumia.com.tn/evertek-v9-plus-5.7-1-go-8-go-gold-garantie-1-an-134812.html""]","[""https://tn.jumia.is/Og_DfYYfc7LJo7w5rMWqEkbTPjo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/21/8431/1.jpg?8045""]","[""329 ""]",jumia,"[""V9 plus - 5.7\"" - 1 Go - 8 Go - Gold - Garantie 1 an""]"
