,itemId,color,guarantee,memory,name,price,ram,site
151,1d70fd8b9c449ff273597ebca7895ac8734ecabb, Blanc , Garantie 1 an + Carte SIM + 55 Dinars de communication , 128 Go , Galaxy A50 ,825.0, 4 Go ,jumia
152,dbc60a3590d453becbae41da187502a245f33e40, Thunder noir , Garantie 1 an , 128 Go , F11 pro ,1149.0, 6 Go ,jumia
153,7d15abba99dc05c89d2ac4b33d2e8fb06cbc9e1a, Silver, Garantie 1 An, 32Go , iPhone 7 ,1599.0, RAM 2 Go ,jumia
154,721de653ad27f3d4cea18f79f4be19355b1cf69a, Black , Garantie 1 an, Double Sim , V5 Nano ,128.0, WIFI ,jumia
155,cd762a65ac06c1dd86c99d6edc52c6edb9f87fc5, Bleu , Garantie 1 An, 32 Go , Galaxy A10 ,459.0, 2 Go ,jumia
156,4bd83582891d4b55f3ce37a640c25d35edef1947, Peacock Bleu , Garantie 1 An, 128 Go , P30 Lite ,849.0,  4 Go ,jumia
157,da54bb75b47c7184227b050acb281aed1a8150ac, Blue Copper , Garantie 1 An, 8Go , 2.1,349.0, 1Go ,jumia
158,464342e651078c70601e482793736bfcae6ed63c, Noir , Garantie 1 An, 32 Go , Galaxy A10 ,500.0, 2 Go ,jumia
159,19addc25d62a28c7ca76dec072bcb7095b5efc22, Gold, Garantie 1 An, 1 Go , Smart 2 ,299.0, 16 Go ,jumia
160,581a3ae5a65b64283bd0144ed77a1c749452487b, Bleu , Garantie 1 An, 32 Go , Y7 Prime 2019 ,575.0, 3 Go ,jumia
161,3647cdd66402f1e92550f42288d9279bf9592489, Gold , Garantie 1 An, 8 Go , J2 Core ,369.0, 1 Go ,jumia
162,25387216c680a6dc51c469c47bbd4513f8c6093d, Noir , Garantie 1 an, 32 Go , Y6 Prime 2019 ,507.0, 2 Go ,jumia
163,c4aa13555079981a80ababf39d6498549b19aeb0, Gold , Garantie 1 An, 32 Go , Y7 prime 2018 ,515.0, 3 Go ,jumia
164,288da39daa5d7fd70f0ec383f3836d35cef50785, Gold , Garantie 1 an, 32 Go , Y7 Prime 2018 ,518.0, 3 Go ,jumia
165,5b1d03e77103b2570818307bdc0f3c52292e7011, Noir , Garantie 1an + Abonnement ORYXO Iptv & Baguette Selfie , 32 Go , Y7 Prime 2018 ,599.0, 3 Go ,jumia
166,69b475806967a982ddedebdcbe1dabe18b20c5e7, Rouge, Garantie 1 An, 16 Go , Smart 2 ,299.0, 1 Go ,jumia
167,bf11ecec5aa02f2101fc82bef90e53aed1ad45bd, Gold , Garantie 1 An, 16 Go , Galaxy A2 Core ,339.0, 1 Go ,jumia
168,9c3b093ec8c93d41f8a94f3b4bd3c853896cd85d, Rouge , Garantie 1 An, 32 Go , A5s ,539.0, 3 Go ,jumia
169,d8daa0c3f3909e86d212818e8a24923440f5a04d, Noir , Garantie 1 An, 32 Go , A5s  ,539.0, 3 Go ,jumia
170,08aaa52e5616aaf1b5660b970e028a56bfc45066, Blanc , Garantie 1 An, 128 Go , Galaxy S10 ,2499.0, 8 Go ,jumia
